District,Category,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Near Market,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
4,1,3.0,3,3,2,3.730501128804756,4.411585436915426,2.3398808777377424,1.0986122886681098,3.2,78.6,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,3,2,2,2.6461747973841225,3.4339872044851463,1.3862943611198906,1.3862943611198906,2.05,156.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,3,2,2,3.4965075614664802,4.009149716158869,1.824549292051046,1.0986122886681098,2.6,81.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,3.4657359027997265,3.8022081394209395,1.1755733298042381,1.3862943611198906,2.65,85.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,2.8735646395797834,3.4011973816621555,1.308332819650179,1.252762968495368,1.56,93.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,3.3638415951183864,3.966511190712216,1.7457155307266483,0.9162907318741551,2.4,86.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,2.4069451083182885,3.054001181677967,1.235471471385307,1.0986122886681098,1.4,138.6,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,2,1,2,3.5890591188317256,4.07753744390572,1.4793292270870801,1.2809338454620642,2.75,78.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,3.0,2,1,2,3.091042453358316,4.1588830833596715,1.3837912309017721,1.6094379124341003,4.5,214.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,3,1,2,3.054001181677967,4.120661870539474,1.7783364488959144,1.0986122886681098,2.6,128.7,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,2.0,2,1,2,3.292126286607793,3.8155121050473024,1.410986973710262,1.3862943611198906,3.25,125.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,1.0,3,1,2,3.885679030088544,3.8308129500026027,1.791759469228055,1.3862943611198906,4.25,89.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,2.0,3,1,2,4.014579593753238,4.69866052907543,1.809926773183504,1.3862943611198906,3.3,60.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1,1.0,3,1,2,4.194189897191817,4.194189897191817,1.7457155307266483,1.3862943611198906,5.5,84.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1,2.0,2,2,2,4.3134800921387715,4.8178592793984425,1.6937790608678513,1.3862943611198906,6.3,85.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1,2.0,2,2,2,3.6270040503958487,4.855928904335275,1.6331544390514163,1.0986122886681098,3.6,98.4,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,2.0,3,2,2,4.007333185232471,4.998562712861986,1.6448050562713916,1.3862943611198906,5.7,105.6,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,3.0,2,2,2,3.7796338173824005,4.877484781308751,1.547562508716013,1.6094379124341003,4.4,102.8,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
